Discipline,Academic level,Self-evaluation,Human VS Zombie,Human VS 5 Zombies,Red Machine VS Zombie,Pain Machine VS Zombie,Pain Machine,Pleasure Machine VS Zombie,Kill VS Zombify (other),Kill VS Zombify (self),Meta-ethical stance,Ethical stance,Monism VS Pluralism,Explanatory stance
Neuroscience,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Unsure/none,Unsure/none,Unsure/none,Unsure/none.
Neuroscience,Bachelor's degree,4,"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the P zombie being in room A.","Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Nihilism,Other,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Idealism
Philosophy,Undergraduate (you have been or are in training but you have no diploma),3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room A switch turning off the P zombie being’s life support, preserving the machine with a single constant experience of pain.",No,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Consequentialist ethics,Value monism (There is only one ethical value/good shared by all valued/good things.),Eliminativism/illusionism.
Philosophy,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Indifferent (the scientist chooses one randomly.),Other,Deontological ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
None,Undergraduate (you have been or are in training but you have no diploma),1,"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the P zombie being in room A.","Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.",Indifferent (the scientist will randomly choose.),Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Become a philosophical zombie.,Unsure/none,Unsure/none,Unsure/none,Unsure/none.
Philosophy,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Other,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),neutral monism
Other,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Switch off their life support.,Switch off your life support.,Anti-realism/subjectivism/relativism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Mysterianism
Neuroscience,Bachelor's degree,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Master's degree,4,"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the P zombie being in room A.","Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Moral realism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Dualism
Cognitive psychology,Bachelor's degree,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Consequentialist ethics,Unsure/none,Mysterianism
Other,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Become a philosophical zombie.,Anti-realism/subjectivism/relativism,Deontological ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),neutral monism
Philosophy,Undergraduate (you have been or are in training but you have no diploma),3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Deontological ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Idealism
None,Doctorate,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Unsure/none,Deontological ethics,Unsure/none,Unsure/none.
None,Bachelor's degree,2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Unsure/none,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
None,Bachelor's degree,1,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room A switch turning off the P zombie being’s life support, preserving the machine with a single constant experience of pain.",No,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Nihilism,Other,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Idealism
Neuroscience,Doctorate,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Virtue ethics,Unsure/none,Dualism
Neuroscience,Master's degree,3,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),"Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room A switch turning off the P zombie being’s life support, preserving the machine with a single constant experience of pain.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Become a philosophical zombie.,Other,Deontological ethics,Unsure/none,Physicalism
Neuroscience,Bachelor's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),Indifferent (the scientist will randomly choose.),Indifferent,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Nihilism,Unsure/none,Unsure/none,Unsure/none.
Philosophy,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Other,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Philosophy,Undergraduate (you have been or are in training but you have no diploma),3,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),Indifferent (The scientist chooses randomly.),Indifferent (the scientist will randomly choose.),Indifferent,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Nihilism,Other,Unsure/none,Other
None,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Switch off your life support.,Moral realism,Deontological ethics,Value monism (There is only one ethical value/good shared by all valued/good things.),Unsure/none.
Neuroscience,Undergraduate (you have been or are in training but you have no diploma),3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Unsure/none,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Idealism
Neuroscience,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Unsure/none,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),neutral monism
Other,Master's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Nihilism,Consequentialist ethics,Value monism (There is only one ethical value/good shared by all valued/good things.),Unsure/none.
Philosophy,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Neuroscience,Bachelor's degree,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Nihilism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Master's degree,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),Indifferent (the scientist will randomly choose.),Indifferent,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Dualism
None,Undergraduate (you have been or are in training but you have no diploma),3,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Switch off their life support.,Switch off your life support.,Moral realism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Neuroscience,Doctorate,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
None,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",No,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Neuroscience,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Bachelor's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Virtue ethics,Value monism (There is only one ethical value/good shared by all valued/good things.),Unsure/none.
Neuroscience,Doctorate,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Unsure/none,Virtue ethics,Unsure/none,Unsure/none.
Philosophy,Master's degree,4,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Other,Other,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Mysterianism
Neuroscience,Doctorate,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Turn them into a philosophical zombie.,Become a philosophical zombie.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Other,Bachelor's degree,4,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Neuroscience,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Unsure/none,Consequentialist ethics,Value monism (There is only one ethical value/good shared by all valued/good things.),Unsure/none.
Neuroscience,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.",Indifferent (activate no switch and let the scientist randomly choose A or B.),"Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",No,Indifferent (the scientist will randomly choose.),Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Consequentialist ethics,Unsure/none,Unsure/none.
Cognitive psychology,Bachelor's degree,5,"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the P zombie being in room A.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Indifferent,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Deontological ethics,Value monism (There is only one ethical value/good shared by all valued/good things.),neutral monism
Other,Master's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Unsure/none,Unsure/none,Unsure/none,Unsure/none.
Philosophy,Bachelor's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Unsure/none,Unsure/none,Unsure/none,Eliminativism/illusionism.
None,Undergraduate (you have been or are in training but you have no diploma),3,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),"Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Unsure/none,Unsure/none,Value monism (There is only one ethical value/good shared by all valued/good things.),Unsure/none.
Philosophy,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),Indifferent (the scientist will randomly choose.),Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Mysterianism
Philosophy,Doctorate,4,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Other,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Neuroscience,Undergraduate (you have been or are in training but you have no diploma),3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room A switch turning off the P zombie being’s life support, preserving the machine with a single constant experience of pain.",No,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Nihilism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Cognitive psychology,Master's degree,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Switch off your life support.,Nihilism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Other
Other,Master's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.",Indifferent (activate no switch and let the scientist randomly choose A or B.),"Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Unsure/none,Unsure/none,Unsure/none,Unsure/none.
Cognitive psychology,Undergraduate (you have been or are in training but you have no diploma),3,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),"Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Moral realism,Virtue ethics,Value monism (There is only one ethical value/good shared by all valued/good things.),Physicalism
